AirportID,Altitude,City,Country,DST,IATA,ICAO,Longitude,Name,Latitude,Source,Timezone,TZDatabaseTimezone,Type
1,5282,Goroka,Papua New Guinea,U,GKA,AYGA,145.391998291,Goroka Airport,-6.081689834590001,OurAirports,10,Pacific/Port_Moresby,airport
2,20,Madang,Papua New Guinea,U,MAG,AYMD,145.789001465,Madang Airport,-5.20707988739,OurAirports,10,Pacific/Port_Moresby,airport
3,5388,Mount Hagen,Papua New Guinea,U,HGU,AYMH,144.29600524902344,Mount Hagen Kagamuga Airport,-5.826789855957031,OurAirports,10,Pacific/Port_Moresby,airport
4,239,Nadzab,Papua New Guinea,U,LAE,AYNZ,146.725977,Nadzab Airport,-6.569803,OurAirports,10,Pacific/Port_Moresby,airport
5,146,Port Moresby,Papua New Guinea,U,POM,AYPY,147.22000122070312,Port Moresby Jacksons International Airport,-9.443380355834961,OurAirports,10,Pacific/Port_Moresby,airport
6,19,Wewak,Papua New Guinea,U,WWK,AYWK,143.669006348,Wewak International Airport,-3.58383011818,OurAirports,10,Pacific/Port_Moresby,airport
7,112,Narssarssuaq,Greenland,E,UAK,BGBW,-45.4259986877,Narsarsuaq Airport,61.1604995728,OurAirports,-3,America/Godthab,airport
8,283,Godthaab,Greenland,E,GOH,BGGH,-51.6781005859,Godthaab / Nuuk Airport,64.19090271,OurAirports,-3,America/Godthab,airport
9,165,Sondrestrom,Greenland,E,SFJ,BGSF,-50.7116031647,Kangerlussuaq Airport,67.0122218992,OurAirports,-3,America/Godthab,airport
10,251,Thule,Greenland,E,THU,BGTL,-68.7032012939,Thule Air Base,76.5311965942,OurAirports,-4,America/Thule,airport
11,6,Akureyri,Iceland,N,AEY,BIAR,-18.07270050048828,Akureyri Airport,65.66000366210938,OurAirports,0,Atlantic/Reykjavik,airport
12,76,Egilsstadir,Iceland,N,EGS,BIEG,-14.401399612426758,Egilsstaðir Airport,65.2833023071289,OurAirports,0,Atlantic/Reykjavik,airport
13,24,Hofn,Iceland,N,HFN,BIHN,-15.2272,Hornafjörður Airport,64.295601,OurAirports,0,Atlantic/Reykjavik,airport
14,48,Husavik,Iceland,N,HZK,BIHU,-17.426001,Húsavík Airport,65.952301,OurAirports,0,Atlantic/Reykjavik,airport
15,8,Isafjordur,Iceland,N,IFJ,BIIS,-23.135299682617188,Ísafjörður Airport,66.05809783935547,OurAirports,0,Atlantic/Reykjavik,airport
16,171,Keflavik,Iceland,N,KEF,BIKF,-22.605600357056,Keflavik International Airport,63.985000610352,OurAirports,0,Atlantic/Reykjavik,airport
17,11,Patreksfjordur,Iceland,N,PFJ,BIPA,-23.965,Patreksfjörður Airport,65.555801,OurAirports,0,Atlantic/Reykjavik,airport
18,48,Reykjavik,Iceland,N,RKV,BIRK,-21.9405994415,Reykjavik Airport,64.1299972534,OurAirports,0,Atlantic/Reykjavik,airport
19,10,Siglufjordur,Iceland,N,SIJ,BISI,-18.9167,Siglufjörður Airport,66.133301,OurAirports,0,Atlantic/Reykjavik,airport
20,326,Vestmannaeyjar,Iceland,N,VEY,BIVM,-20.278900146484375,Vestmannaeyjar Airport,63.42430114746094,OurAirports,0,Atlantic/Reykjavik,airport
21,630,Sault Sainte Marie,Canada,A,YAM,CYAM,-84.5093994140625,Sault Ste Marie Airport,46.48500061035156,OurAirports,-5,America/Toronto,airport
22,760,Winnipeg,Canada,A,\N,CYAV,-97.03250122070001,Winnipeg / St. Andrews Airport,50.0564002991,OurAirports,-6,America/Winnipeg,airport
23,144,Halifax,Canada,A,\N,CYAW,-63.499401,Halifax / CFB Shearwater Heliport,44.639702,OurAirports,-4,America/Halifax,airport
24,108,St. Anthony,Canada,A,YAY,CYAY,-56.083099365200006,St. Anthony Airport,51.3918991089,OurAirports,-3.5,America/St_Johns,airport
25,80,Tofino,Canada,A,YAZ,CYAZ,-125.775583,Tofino / Long Beach Airport,49.079833,OurAirports,-8,America/Vancouver,airport
26,56,Pelly Bay,Canada,A,YBB,CYBB,-89.808098,Kugaaruk Airport,68.534401,OurAirports,-7,America/Edmonton,airport
27,71,Baie Comeau,Canada,A,YBC,CYBC,-68.20439910888672,Baie Comeau Airport,49.13249969482422,OurAirports,-5,America/Toronto,airport
28,522,Bagotville,Canada,A,YBG,CYBG,-70.99639892578125,CFB Bagotville,48.33060073852539,OurAirports,-5,America/Toronto,airport
29,59,Baker Lake,Canada,A,YBK,CYBK,-96.077796936,Baker Lake Airport,64.29889678960001,OurAirports,-6,America/Winnipeg,airport
30,346,Campbell River,Canada,A,YBL,CYBL,-125.27100372314453,Campbell River Airport,49.950801849365234,OurAirports,-8,America/Vancouver,airport
31,1343,Brandon,Canada,A,YBR,CYBR,-99.951897,Brandon Municipal Airport,49.91,OurAirports,-6,America/Winnipeg,airport
32,90,Cambridge Bay,Canada,A,YCB,CYCB,-105.138000488,Cambridge Bay Airport,69.1081008911,OurAirports,-7,America/Edmonton,airport
33,92,Nanaimo,Canada,A,YCD,CYCD,-123.869862556,Nanaimo Airport,49.054970224899996,OurAirports,-8,America/Vancouver,airport
34,1624,Castlegar,Canada,A,YCG,CYCG,-117.632003784,Castlegar/West Kootenay Regional Airport,49.2963981628,OurAirports,-8,America/Vancouver,airport
35,108,Chatham,Canada,A,YCH,CYCH,-65.449203,Miramichi Airport,47.007801,OurAirports,-4,America/Halifax,airport
36,132,Charlo,Canada,A,YCL,CYCL,-66.330299,Charlo Airport,47.990799,OurAirports,-4,America/Halifax,airport
37,74,Coppermine,Canada,A,YCO,CYCO,-115.143997,Kugluktuk Airport,67.816704,OurAirports,-7,America/Edmonton,airport
38,2595,Coronation,Canada,A,YCT,CYCT,-111.444999695,Coronation Airport,52.0750007629,OurAirports,-7,America/Edmonton,airport
39,32,Chilliwack,Canada,A,YCW,CYCW,-121.939002991,Chilliwack Airport,49.1528015137,OurAirports,-8,America/Vancouver,airport
40,87,Clyde River,Canada,A,YCY,CYCY,-68.5167007446,Clyde River Airport,70.4860992432,OurAirports,-5,America/Toronto,airport
41,210,Coral Harbour,Canada,A,YZS,CYZS,-83.3593978882,Coral Harbour Airport,64.1932983398,OurAirports,-5,America/Coral_Harbour,airport
42,1215,Dawson,Canada,A,YDA,CYDA,-139.1280059814453,Dawson City Airport,64.04309844970703,OurAirports,-8,America/Vancouver,airport
43,2647,Burwash,Canada,A,YDB,CYDB,-139.04100036621094,Burwash Airport,61.37110137939453,OurAirports,-8,America/Vancouver,airport
44,2298,Princeton,Canada,A,\N,CYDC,-120.511001587,Princeton Airport,49.4681015015,OurAirports,-8,America/Vancouver,airport
45,72,Deer Lake,Canada,A,YDF,CYDF,-57.39139938354492,Deer Lake Airport,49.21080017089844,OurAirports,-3.5,America/St_Johns,airport
46,2600,Dease Lake,Canada,A,YDL,CYDL,-130.031997681,Dease Lake Airport,58.4221992493,OurAirports,-8,America/Vancouver,airport
47,999,Dauphin,Canada,A,YDN,CYDN,-100.052001953125,Dauphin Barker Airport,51.100799560546875,OurAirports,-6,America/Winnipeg,airport
48,2148,Dawson Creek,Canada,A,YDQ,CYDQ,-120.18299865722656,Dawson Creek Airport,55.7422981262207,OurAirports,-7,America/Dawson_Creek,airport
49,2373,Edmonton,Canada,A,YEG,CYEG,-113.580001831,Edmonton International Airport,53.309700012200004,OurAirports,-7,America/Edmonton,airport
50,32,Eskimo Point,Canada,A,YEK,CYEK,-94.07080078119999,Arviat Airport,61.0942001343,OurAirports,-6,America/Winnipeg,airport
51,1905,Estevan,Canada,N,YEN,CYEN,-102.966003418,Estevan Airport,49.2103004456,OurAirports,-6,America/Regina,airport
52,3043,Edson,Canada,A,YET,CYET,-116.464996338,Edson Airport,53.578899383499994,OurAirports,-7,America/Edmonton,airport
53,256,Eureka,Canada,A,YEU,CYEU,-85.814201355,Eureka Airport,79.9946975708,OurAirports,-6,America/Winnipeg,airport
54,224,Inuvik,Canada,A,YEV,CYEV,-133.483001709,Inuvik Mike Zubko Airport,68.30419921880001,OurAirports,-7,America/Edmonton,airport
55,110,Iqaluit,Canada,A,YFB,CYFB,-68.555801,Iqaluit Airport,63.756402,OurAirports,-5,America/Toronto,airport
56,68,Fredericton,Canada,A,YFC,CYFC,-66.53720092773438,Fredericton Airport,45.868900299072266,OurAirports,-4,America/Halifax,airport
57,293,Forestville,Canada,A,YFE,CYFE,-69.09719848632812,Forestville Airport,48.74610137939453,OurAirports,-5,America/Toronto,airport
58,997,Flin Flon,Canada,A,YFO,CYFO,-101.68199920654297,Flin Flon Airport,54.6781005859375,OurAirports,-6,America/Winnipeg,airport
59,526,Fort Resolution,Canada,A,YFR,CYFR,-113.690002441,Fort Resolution Airport,61.1808013916,OurAirports,-7,America/Edmonton,airport
60,555,Fort Simpson,Canada,A,YFS,CYFS,-121.23699951171875,Fort Simpson Airport,61.76020050048828,OurAirports,-7,America/Edmonton,airport
61,305,Kingston,Canada,A,YGK,CYGK,-76.5969009399414,Kingston Norman Rogers Airport,44.22529983520508,OurAirports,-5,America/Toronto,airport
62,639,La Grande Riviere,Canada,A,YGL,CYGL,-77.7042007446289,La Grande Rivière Airport,53.625301361083984,OurAirports,-5,America/Toronto,airport
63,112,Gaspe,Canada,A,YGP,CYGP,-64.4785995483,Gaspé (Michel-Pouliot) Airport,48.7752990723,OurAirports,-5,America/Toronto,airport
64,1144,Geraldton,Canada,A,YGQ,CYGQ,-86.93939971923828,Geraldton Greenstone Regional Airport,49.77830123901367,OurAirports,-5,America/Toronto,airport
65,35,Iles De La Madeleine,Canada,A,YGR,CYGR,-61.778099060058594,Îles-de-la-Madeleine Airport,47.42470169067383,OurAirports,-5,America/Toronto,airport
66,1175,Hudson Bay,Canada,N,YHB,CYHB,-102.310997009,Hudson Bay Airport,52.8166999817,OurAirports,-6,America/Regina,airport
67,1354,Dryden,Canada,A,YHD,CYHD,-92.744202,Dryden Regional Airport,49.831699,OurAirports,-6,America/Winnipeg,airport
68,117,Holman Island,Canada,A,YHI,CYHI,-117.80599975585938,Ulukhaktok Holman Airport,70.76280212402344,OurAirports,-7,America/Edmonton,airport
69,152,Gjoa Haven,Canada,A,YHK,CYHK,-95.84970092770001,Gjoa Haven Airport,68.635597229,OurAirports,-7,America/Edmonton,airport
70,780,Hamilton,Canada,A,YHM,CYHM,-79.93499755859999,John C. Munro Hamilton International Airport,43.173599243199995,OurAirports,-5,America/Toronto,airport
71,90,Montreal,Canada,A,YHU,CYHU,-73.4169006348,Montréal / Saint-Hubert Airport,45.5175018311,OurAirports,-5,America/Toronto,airport
72,541,Hay River,Canada,A,YHY,CYHY,-115.782997131,Hay River / Merlyn Carter Airport,60.8396987915,OurAirports,-7,America/Edmonton,airport
73,477,Halifax,Canada,A,YHZ,CYHZ,-63.5085983276,Halifax / Stanfield International Airport,44.8807983398,OurAirports,-4,America/Halifax,airport
74,1408,Atikokan,Canada,A,YIB,CYIB,-91.6386032104,Atikokan Municipal Airport,48.7738990784,OurAirports,-5,America/Coral_Harbour,airport
75,181,Pond Inlet,Canada,A,YIO,CYIO,-77.9666976929,Pond Inlet Airport,72.6832962036,OurAirports,-5,America/Toronto,airport
76,136,St. Jean,Canada,A,YJN,CYJN,-73.28109741210938,St Jean Airport,45.29439926147461,OurAirports,-5,America/Toronto,airport
77,84,Stephenville,Canada,A,YJT,CYJT,-58.54999923706055,Stephenville Airport,48.5442008972168,OurAirports,-3.5,America/St_Johns,airport
78,1133,Kamloops,Canada,A,YKA,CYKA,-120.444000244,Kamloops Airport,50.7022018433,OurAirports,-8,America/Vancouver,airport
79,1055,Waterloo,Canada,A,YKF,CYKF,-80.3786010742,Waterloo Airport,43.460800170899994,OurAirports,-5,America/Toronto,airport
80,1709,Schefferville,Canada,A,YKL,CYKL,-66.8052978515625,Schefferville Airport,54.805301666259766,OurAirports,-5,America/Toronto,airport
81,2277,Kindersley,Canada,N,YKY,CYKY,-109.180999756,Kindersley Airport,51.5175018311,OurAirports,-6,America/Regina,airport
82,650,Toronto,Canada,A,YKZ,CYKZ,-79.37000274658203,Buttonville Municipal Airport,43.86220169067383,OurAirports,-5,America/Toronto,airport
83,1470,Chapleau,Canada,A,YLD,CYLD,-83.3467025756836,Chapleau Airport,47.81999969482422,OurAirports,-5,America/Toronto,airport
84,1576,Meadow Lake,Canada,N,YLJ,CYLJ,-108.52300262451172,Meadow Lake Airport,54.125301361083984,OurAirports,-6,America/Regina,airport
85,2193,Lloydminster,Canada,A,YLL,CYLL,-110.072998046875,Lloydminster Airport,53.309200286865234,OurAirports,-7,America/Edmonton,airport
86,100,Alert,Canada,A,YLT,CYLT,-62.2806015015,Alert Airport,82.51779937740001,OurAirports,-5,America/Toronto,airport
87,1421,Kelowna,Canada,A,YLW,CYLW,-119.377998352,Kelowna International Airport,49.9561004639,OurAirports,-8,America/Vancouver,airport
88,1653,Mayo,Canada,A,YMA,CYMA,-135.8679962158203,Mayo Airport,63.61640167236328,OurAirports,-8,America/Vancouver,airport
89,1892,Moose Jaw,Canada,N,YMJ,CYMJ,-105.55899810791016,Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,OurAirports,-6,America/Regina,airport
90,1211,Fort Mcmurray,Canada,A,YMM,CYMM,-111.222000122,Fort McMurray Airport,56.653301239,OurAirports,-7,America/Edmonton,airport
91,30,Moosonee,Canada,A,YMO,CYMO,-80.60780334472656,Moosonee Airport,51.291099548339844,OurAirports,-5,America/Toronto,airport
92,656,Maniwaki,Canada,A,YMW,CYMW,-75.9906005859,Maniwaki Airport,46.2728004456,OurAirports,-5,America/Toronto,airport
93,270,Montreal,Canada,A,YMX,CYMX,-74.038696,Montreal International (Mirabel) Airport,45.679501,OurAirports,-5,America/Toronto,airport
94,39,Natashquan,Canada,A,YNA,CYNA,-61.78919982910156,Natashquan Airport,50.189998626708984,OurAirports,-5,America/Toronto,airport
95,211,Gatineau,Canada,A,YND,CYND,-75.5635986328,Ottawa / Gatineau Airport,45.521701812699995,OurAirports,-5,America/Toronto,airport
96,918,Matagami,Canada,A,YNM,CYNM,-77.80280303955078,Matagami Airport,49.76169967651367,OurAirports,-5,America/Toronto,airport
97,824,Old Crow,Canada,A,YOC,CYOC,-139.83900451660156,Old Crow Airport,67.57060241699219,OurAirports,-8,America/Vancouver,airport
98,1775,Cold Lake,Canada,A,YOD,CYOD,-110.27899932861328,CFB Cold Lake,54.404998779296875,OurAirports,-7,America/Edmonton,airport
99,1110,High Level,Canada,A,YOJ,CYOJ,-117.16500091552734,High Level Airport,58.62139892578125,OurAirports,-7,America/Edmonton,airport
100,374,Ottawa,Canada,A,YOW,CYOW,-75.66919708251953,Ottawa Macdonald-Cartier International Airport,45.3224983215332,OurAirports,-5,America/Toronto,airport
101,1405,Prince Albert,Canada,N,YPA,CYPA,-105.672996521,Prince Albert Glass Field,53.214199066199996,OurAirports,-6,America/Regina,airport
102,1873,Peace River,Canada,A,YPE,CYPE,-117.446999,Peace River Airport,56.226898,OurAirports,-7,America/Edmonton,airport
103,885,Portage-la-prairie,Canada,A,YPG,CYPG,-98.273817,Southport Airport,49.903099,OurAirports,-6,America/Winnipeg,airport
104,11,Pitt Meadows,Canada,A,\N,CYPK,-122.70999908447266,Pitt Meadows Airport,49.21609878540039,OurAirports,-8,America/Vancouver,airport
105,1267,Pickle Lake,Canada,A,YPL,CYPL,-90.21420288085938,Pickle Lake Airport,51.4463996887207,OurAirports,-5,America/Coral_Harbour,airport
106,167,Port Menier,Canada,A,YPN,CYPN,-64.2885971069336,Port Menier Airport,49.83639907836914,OurAirports,-5,America/Toronto,airport
107,628,Peterborough,Canada,A,YPQ,CYPQ,-78.36329650878906,Peterborough Airport,44.22999954223633,OurAirports,-5,America/Toronto,airport
108,116,Prince Pupert,Canada,A,YPR,CYPR,-130.445007324,Prince Rupert Airport,54.286098480199996,OurAirports,-8,America/Vancouver,airport
109,761,Fort Chipewyan,Canada,A,YPY,CYPY,-111.11699676513672,Fort Chipewyan Airport,58.7672004699707,OurAirports,-7,America/Edmonton,airport
110,925,Muskoka,Canada,A,YQA,CYQA,-79.30329895019531,Muskoka Airport,44.974700927734375,OurAirports,-5,America/Toronto,airport
111,244,Quebec,Canada,A,YQB,CYQB,-71.393303,Quebec Jean Lesage International Airport,46.7911,OurAirports,-5,America/Toronto,airport
112,2968,Red Deer Industrial,Canada,A,YQF,CYQF,-113.89399719238281,Red Deer Regional Airport,52.18220138549805,OurAirports,-7,America/Edmonton,airport
113,622,Windsor,Canada,A,YQG,CYQG,-82.95559692382812,Windsor Airport,42.27560043334961,OurAirports,-5,America/Toronto,airport
114,2255,Watson Lake,Canada,A,YQH,CYQH,-128.82200622558594,Watson Lake Airport,60.11640167236328,OurAirports,-8,America/Vancouver,airport
115,1332,Kenora,Canada,A,YQK,CYQK,-94.36309814453125,Kenora Airport,49.788299560546875,OurAirports,-6,America/Winnipeg,airport
116,3048,Lethbridge,Canada,A,YQL,CYQL,-112.800003052,Lethbridge County Airport,49.6302986145,OurAirports,-7,America/Edmonton,airport
117,232,Moncton,Canada,A,YQM,CYQM,-64.67859649658203,Greater Moncton International Airport,46.11220169067383,OurAirports,-4,America/Halifax,airport
119,84,Comox,Canada,A,YQQ,CYQQ,-124.88700103759766,Comox Airport,49.71080017089844,OurAirports,-8,America/Vancouver,airport
